event                                     , date  , person                 , quote                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             , Annotator 1 Sentiment, Annotator 1 Group, Annotator 2 Sentiment, Annotator 2 Group, Annotator 3 Sentiment, Annotator 3 Group
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK, 18-Oct, CHERYL REEVE           , "We did try to get some players off the floor a little bit more. This one Collier -- we thought about it. But I think overall I was concerned about leaving Lan too long on the bench, sitting too long. But other than that, we weren't concerned."                                                                                                                                                                                                                                                                                                                                                              ,                      ,                  ,                      ,                  ,                      , 
2024 - NBA DRAFT                          , 26-Jun, RYAN DUNN              , He's actually in Arizona. That's where he's staying. He's rehabbing on that.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,                      ,                  ,                      ,                  ,                      , 
2024 - WNBA DRAFT                         , 15-Apr, CAITLIN CLARK          , "Absolutely, and that's definitely our goal is to get back to championship habits. I think it's so cool for me. I vividly remember my freshman year during the bubble, we played Kentucky in the round of 32 and Tamika was calling the game and I was like tweaking out. I couldn't believe she was calling one of my games. Somebody I idolized, somebody that I loved and somebody that is not only a great basketball player and everything that she did but she's a tremendous person."                                                                                                                      ,                      ,                  ,                      ,                  ,                      , 
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK, 20-Oct, KAYLA McBRIDE          , "It's been the same. Game 5, everybody is making their adjustments, mid-game, mid-possession. We are flying around. Everybody knows each other so well at this point. Everybody is trying to make a play and stop them from making a play. They made some plays in the second half."                                                                                                                                                                                                                                                                                                                              ,                      ,                  ,                      ,                  ,                      , 
2024 - ALL-STAR GAME                      , 18-Feb, LEBRON JAMES           , "I don't know, because when I came into the league, I didn't look at myself as the face of anything. I didn't look at myself as the next Michael or the successor to Michael."                                                                                                                                                                                                                                                                                                                                                                                                                                    ,                      ,                  ,                      ,                  ,                      , 
2024 - WNBA DRAFT                         , 15-Apr, CELESTE TAYLOR         , "Then yeah, playing with Caitlin now is honestly really cool. We've had the opportunity, like I said, to have that sold-out crowd at our place and then going to her place and having that last regular-season home game for them. Just having the opportunity to play with her again, it's going to be amazing. She's done so much for the women's game, and I know she has so much more to give to everyone. Just a lot of excitement."                                                                                                                                                                         ,                      ,                  ,                      ,                  ,                      , 
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK, 18-Oct, CHERYL REEVE           , "We said, BC Bridget Carleton, if you have a chance, follow it up and see if you can tip one in and get fouled laughter."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,                      ,                  ,                      ,                  ,                      , 
2024 - WNBA DRAFT                         , 15-Apr, KAMILLA CARDOSO        , "Just getting better, being more physical, more competition. I'm just excited to get out there and play with some of the big names of women's basketball."                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,                      ,                  ,                      ,                  ,                      , 
2024 - NBA DRAFT                          , 26-Jun, STEPHON CASTLE         , "They always told me that they were super high on me. But of course it's the NBA Draft, so you can't make any promises to anybody."                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,                      ,                  ,                      ,                  ,                      , 
2024 - NBA ALL-STAR RISING STARS PRACTICE , 16-Feb, VICTOR WEMBANYAMA      , It's something anyone has to manage in their career.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,                      ,                  ,                      ,                  ,                      , 
2024 - WNBA DRAFT                         , 15-Apr, CELESTE TAYLOR         , "Yeah, I mean, I didn't. I did not envision this, not because I didn't think I was capable but because I didn't know. I think honestly until I was in maybe about ninth grade, my freshman year of high school, I had to learn the path that it took to get to the W. I was around it, but I didn't know the path that it took to get there."                                                                                                                                                                                                                                                                     ,                      ,                  ,                      ,                  ,                      , 
2024 - NBA DRAFT                          , 26-Jun, TRISTAN DA SILVA       , "Basketball IQ, for sure. Making the right reads. Making smart plays. Being in the right position. I feel like that's very underrated, being in the right position and reading your defender. That's a lot of my game where I get my advantages from."                                                                                                                                                                                                                                                                                                                                                            ,                      ,                  ,                      ,                  ,                      , 
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK, 13-Oct, CHERYL REEVE           , "Our offense was bad at a time when we really needed it. Our pace was slow. Taking too long to get into things, and you know, I don't think we were terribly hard to play against from that standpoint. And that was obviously a difficult time to be doing that."                                                                                                                                                                                                                                                                                                                                                ,                      ,                  ,                      ,                  ,                      , 
2024 - NBA ALL-STAR RISING STARS PRACTICE , 16-Feb, TREY MURPHY III        , "Yeah, I mean, the dunking thing came late, first of all, so I didn't start dunking until my senior year in high school. That was probably part of it."                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,                      ,                  ,                      ,                  ,                      , 
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK, 10-Oct, BREANNA STEWART        , "And then the second one, the same. It's when you want to be thinking about nothing else. It definitely sucks to miss."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,                      ,                  ,                      ,                  ,                      , 
2024 - NBA ALL-STAR MEDIA DAY             , 17-Feb, KEVIN DURANT           , "Whenever Drake just wants to talk about life, I'm just there for him. And then he just gave me that title."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,                      ,                  ,                      ,                  ,                      , 
2024 - NBA ALL-STAR MEDIA DAY             , 17-Feb, JAYSON TATUM           , "Yeah, he's having a great year. Unlike any other player we've probably ever seen. At this point, I think he, for sure, deserves to be in the conversation with some other great rookies out there. Chet Holmgren at OKC. I think those would probably be the two guys off the top of my head right now."                                                                                                                                                                                                                                                                                                         ,                      ,                  ,                      ,                  ,                      , 
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK, 20-Oct, CHERYL REEVE           , "It's crazy how the series ended. For four games, it was about the three ball, three ball, three ball. Certainly offensive rebounds throughout the whole thing. But then tonight came down to points in the paint. We don't even score in the paint and we had 44, was it, right. So it was really interesting how the series ended with them playing bigger. They won the game with their defense, no doubt about it, with their defense. Anyway, to your question, her minutes were really good, really helped them."                                                                                           ,                      ,                  ,                      ,                  ,                      , 
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK, 20-Oct, BREANNA STEWART        , "Today throughout my whole day, everybody was texting me, like, ""How are you? Are you ready?"" All these things. ""Do your thing."""                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,                      ,                  ,                      ,                  ,                      , 
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK, 20-Oct, JONQUEL JONES          , "That really helped keep things in perspective. I went out there to play to win and not to lose. The experience that I had, even though it wasn't the best experience and we lost in the past, it allowed me to be a little bit more relaxed in the situation and just understand that these moments aren't guarantees. It's not a given. You have to kind of just take advantage of it but also live in the moment and really appreciate what it took to get here, too."                                                                                                                                         ,                      ,                  ,                      ,                  ,                      , 
2024 - NBA ALL-STAR MEDIA DAY             , 17-Feb, KEVIN DURANT           , "Hanging out, playing video games, going out, having a drink. All that stuff helps when you're trying to gain chemistry as a team. It's been great getting to know him."                                                                                                                                                                                                                                                                                                                                                                                                                                          ,                      ,                  ,                      ,                  ,                      , 
2024 - ALL-STAR GAME                      , 18-Feb, GIANNIS ANTETOKOUNMPO  , "I have no idea. It's a funny and a crazy story at the same time. I really don't expect everybody to know who I am or know my name. I'm not aiming for that. I'm actually aiming for the opposite, kind of stay as low profile as I can. Yeah, crazy, crazy story."                                                                                                                                                                                                                                                                                                                                               ,                      ,                  ,                      ,                  ,                      , 
2024 - WNBA DRAFT                         , 15-Apr, MARQUESHA DAVIS        , "I would say I'm very excited to work with her and just learn from her and take whatever I can take from her and take it to my game. I would say just being able to score in different ways, that's a way that I can come in and help the Liberty."                                                                                                                                                                                                                                                                                                                                                               ,                      ,                  ,                      ,                  ,                      , 
2024 - NBA DRAFT                          , 26-Jun, RYAN DUNN              , "Yeah, I think I can. It's just getting a lot of reps in practice and everything like that. Just getting the confidence and just let it go. That's what I'm going to try to do in Phoenix, is be in the gym a lot. Just do what I've got to do as a team."                                                                                                                                                                                                                                                                                                                                                        ,                      ,                  ,                      ,                  ,                      , 
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK, 16-Oct, CHERYL REEVE           , "I mean, I'll let these guys talk about that. Go ahead, you guys. Jump in there."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,                      ,                  ,                      ,                  ,                      , 
2024 - ALL-STAR GAME                      , 18-Feb, GIANNIS ANTETOKOUNMPO  , "Then in 2019 in Charlotte, I got exactly those shoes, and I wrote on the shoes, ""Thanks, Thanasis, for sharing."" And I kind of paid tribute to him for sharing the shoes with me ten years ago. He never thought I was going to be an All-Star or the person that I am today. He was just with me because he loves me. I love him, too, so I wanted to pay respect for him."                                                                                                                                                                                                                                   ,                      ,                  ,                      ,                  ,                      , 
2024 - ALL-STAR GAME                      , 18-Feb, DAMIAN LILLARD         , "I think overall it's just our lockers are next to each other's. When you go somewhere outside of your team with a teammate, you usually naturally turn to each other more, just a lot of conversation. We're sharing our own experience away from this when we get around other groups."                                                                                                                                                                                                                                                                                                                         ,                      ,                  ,                      ,                  ,                      , 
2024 - NBA ALL-STAR RISING STARS PRACTICE , 16-Feb, PAOLO BANCHERO         , "After that, I had to start getting the between cross and start getting back in my bag, for sure."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,                      ,                  ,                      ,                  ,                      , 
2024 - NBA ALL-STAR MEDIA DAY             , 17-Feb, KEVIN DURANT           , "Luckily I'm on my way out, so I won't have to deal with it too much. You just see him settling in game after game after game, and it's going to be a joy to watch."                                                                                                                                                                                                                                                                                                                                                                                                                                              ,                      ,                  ,                      ,                  ,                      , 
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK, 16-Oct, BREANNA STEWART        , "I don't know. Like, you guys talk about the run, Sab's shot. There was so many players that came in that were like such an important piece of what we were able to do tonight just because they made Minny tired and that's what makes this team really special. It's a collective win even though some of us are shining a little bit brighter."                                                                                                                                                                                                                                                                ,                      ,                  ,                      ,                  ,                      , 
2024 - ALL-STAR GAME                      , 18-Feb, KARL-ANTHONY TOWNS     , I got hopes and dreams.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,                      ,                  ,                      ,                  ,                      , 
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK, 10-Oct, SANDY BRONDELLO        , Sometimes when we didn't rebound or we kind of -- we went to offensive rebound but we are out of position and they got easy layups in transition. So those really break your back.                                                                                                                                                                                                                                                                                                                                                                                                                                ,                      ,                  ,                      ,                  ,                      , 
2024 - WNBA DRAFT                         , 15-Apr, CATHY ENGELBERT        , "Right, so obviously one of our focuses this year of our social justice council is reproductive rights, as well as civic engagement, given that we're in a general election year. So the one thing I like about our players, our players want to be engaged. They don't run away from things. They want to be engaged and they want to force change in the communities in which they live and work, and they do it very, very effectively. I think on this issue they'll continue to do that effectively."                                                                                                        ,                      ,                  ,                      ,                  ,                      , 
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK, 16-Oct, SANDY BRONDELLO        , "I did. I felt confident. Even with that last shot I felt confident, okay, because we worked hard and we found a way to win."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,                      ,                  ,                      ,                  ,                      , 
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK, 10-Oct, CATHY ENGELBERT        , "Finally, before we get to your questions, we have some news to announce Starting next year with the 2025 WNBA season, the WNBA Finals presented by YouTube TV will be a best-of-seven format, replacing the current best-of-five format. The Finals will take on a 2-2-1-1-1 structure, in which the team with the higher seed will host Games 1, 2, 5 and 7, and its opponent will host Games 3, 4 and 6. This will give our fans a championship series format that they are accustomed to seeing in other sports."                                                                                             ,                      ,                  ,                      ,                  ,                      , 
2024 - NBA ALL-STAR RISING STARS PRACTICE , 16-Feb, TREY MURPHY III        , "Just to show people what type of time I'm going to offer Utah for Saturday in the Dunk Contest. Didn't want to do anything too crazy. Didn't want to give any previews of what I'm going to do, but definitely wanted people to see I got a little ups."                                                                                                                                                                                                                                                                                                                                                         ,                      ,                  ,                      ,                  ,                      , 
2024 - NBA ALL-STAR MEDIA DAY             , 17-Feb, GIANNIS ANTETOKOUNMPO  , "Oh, Jabari Parker? I love it, man. I watch all of his highlights, and he's found a place that he's happy. I feel like, when I played with him, whenever he was happy and he felt comfortable in his environment, he will thrive, and you can see he's playing really well."                                                                                                                                                                                                                                                                                                                                      ,                      ,                  ,                      ,                  ,                      , 
2024 - ALL-STAR GAME                      , 18-Feb, DAMIAN LILLARD         , "You want to come here and have success, so I had that. It's just been a good break. Just being around my family, being able to just do the things that I've always done."                                                                                                                                                                                                                                                                                                                                                                                                                                        ,                      ,                  ,                      ,                  ,                      , 
2024 - NBA DRAFT                          , 26-Jun, CODY WILLIAMS          , "I like bowling and starting to pick up golf too. Have a lot more free time, so I can start getting good at golf and getting a routine for it. But definitely bowling is another activity I'm heavy on."                                                                                                                                                                                                                                                                                                                                                                                                          ,                      ,                  ,                      ,                  ,                      , 
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK, 16-Oct, CHERYL REEVE           , "You know, I thought as you said, we had the appropriate effort and focus on what we were doing. As the game wore on, the offense got harder and harder for us."                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,                      ,                  ,                      ,                  ,                      , 
2024 - WNBA DRAFT                         , 15-Apr, CATHY ENGELBERT        , "One of the things that's great about being in the WNBA right now is everybody is paying attention. I ran into someone who ran an ad buy during the final of the women's Final Four. They said -- it was a CEO they got thousands of messages, not only about how great they thought the ad was but that they ran it during women's basketball, and how much that lifted their brand with not just their female employees but their female customers and everybody."                                                                                                                                              ,                      ,                  ,                      ,                  ,                      , 
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK, 18-Oct, SANDY BRONDELLO        , "Yeah, that's what we said we worked for all season long. Minnesota did what they needed to do here to tie it up, and now we go back home. We love playing in front of our home crowd."                                                                                                                                                                                                                                                                                                                                                                                                                           ,                      ,                  ,                      ,                  ,                      , 
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK, 13-Oct, NAPHEESA COLLIER       , "It's hard. Like we are both competing for a championship. You have to play with a level of desperation from the very beginning, and so that's what we're going to need to do to come out in Game 3."                                                                                                                                                                                                                                                                                                                                                                                                             ,                      ,                  ,                      ,                  ,                      , 
2024 - ALL-STAR GAME                      , 18-Feb, DAMIAN LILLARD         , "You've just got to keep shooting the ball. I think, in a game like this, you know it's going to be pretty loose, and you're going to get your opportunities. Being in the starting lineup, I knew I'd play longer stretches, get more minutes."                                                                                                                                                                                                                                                                                                                                                                  ,                      ,                  ,                      ,                  ,                      , 
